script_id,imdb_id,title,year,gross
1985,tt0402910,Chaos,2005,
8103,tt0103939,Chaplin,1992,19
6213,tt0423977,Charlie Bartlett,2007,4
1989,tt0160127,Charlie's Angels,2000,201
1991,tt0118842,Chasing Amy,1997,22
1993,tt0221069,Chasing Sleep,2000,
7820,tt2883512,Chef,2014,33
1995,tt0175526,Cherry Falls,2000,
4008,tt0206634,Children of Men,2006,46
6538,tt0087050,Children of the Corn,1984,37
4010,tt0163579,Chill Factor,1999,19
1999,tt0071315,Chinatown,1974,
4012,tt0241303,Chocolat,2000,115
8287,tt0087054,Choose Me,1984,
2002,tt2416048,Christ Complex,2012,
8189,tt0085333,Christine,1983,58
8011,tt0097958,Christmas Vacation,1989,156
2003,tt1706593,Chronicle,2012,70
2011,tt0095765,Cinema Paradiso,1988,
7508,tt0450405,Cirque du Freak: The Vampire's Assistant,2009,16
808,tt0033467,Citizen Kane,1941,
4015,tt0115907,City Hall,1996,39
6742,tt0087062,City Heat,1984,99
4016,tt1174730,City Island,2009,7
5847,tt0317248,City of God,2002,11
809,tt0103976,City of Joy,1992,30
2019,tt0800320,Clash of the Titans,2010,179
7983,tt0109444,Clear and Present Danger,1994,253
2020,tt0109445,Clerks,1994,6
6038,tt0389860,Click,2006,181
2027,tt0106582,Cliffhanger,1993,176
8786,tt1371111,Cloud Atlas,2012,29
7984,tt0844471,Cloudy with a Chance of Meatballs,2009,145
6039,tt1985966,Cloudy with a Chance of Meatballs 2,2013,128
8192,tt1060277,Cloverfield,2008,96
5297,tt0088930,Clue,1985,7
2029,tt0112697,Clueless,1995,113
4030,tt0080549,Coal Miner's Daughter,1980,258
813,tt0109450,Cobb,1994,2
811,tt0088936,Code of Silence,1985,
2033,tt0159365,Cold Mountain,2003,137
2035,tt0369339,Collateral,2004,140
815,tt0233469,Collateral Damage,2002,59
2041,tt1657507,Colombiana,2011,40
2042,tt0109456,Color of Night,1994,41
5298,tt0099291,Come See the Paradise,1990,1
7429,tt0094898,Coming to America,1988,270
2114,tt0407680,Complete Guide to Guys,2005,
2046,tt0816462,Conan the Barbarian,2011,23
814,tt0270288,Confessions of a Dangerous Mind,2002,
2050,tt0310910,Confidence,2003,17
4038,tt0068408,Conquest of the Planet of the Apes,1972,
4039,tt0118883,Conspiracy Theory,1997,144
818,tt0360486,Constantine,2005,102
821,tt0118884,Contact,1997,191
4040,tt1244754,Conviction,2010,7
4041,tt0061512,Cool Hand Luke,1967,
4042,tt1385867,Cop Out,2010,49
2056,tt0112722,Copycat,1995,64
5392,tt0327597,Coraline,2009,87
2059,tt1372686,Coriolanus,2011,0
6614,tt1480656,Cosmopolis,2012,0
2062,tt0115956,Courage Under Fire,1996,115
2063,tt0409847,Cowboys & Aliens,2011,109
822,tt0306685,Cradle 2 the Grave,2003,49
2066,tt0479884,Crank,2006,36
4047,tt0375679,Crash,2004,76
4050,tt1263670,Crazy Heart,2009,45
2073,tt1570728,"Crazy, Stupid, Love.",2011,92
4034,tt0416658,Crazylove,2005,
2075,tt0974014,Creation,2009,
6549,tt0083767,Creepshow,1982,
830,tt0310924,Crime Spree,2003,
